"","009A.kraken","009B.kraken","012A.kraken","012B.kraken","015A.kraken","015B.kraken","022A.kraken","022B.kraken","024A.kraken","033A.kraken","033B.kraken","035A.kraken","035B.kraken","038A.kraken","038B.kraken","049A.kraken","049B.kraken","052A.kraken","052B.kraken","057A.kraken","057B.kraken","068A.kraken","068B.kraken","1_1bx.kraken","12_1by.kraken","12_2by.kraken","12_3by.kraken","1_2bx.kraken","1_3bx.kraken","15_1bx.kraken","15_1bz.kraken","15_2bz.kraken","15_3bx.kraken","15_bx.kraken","19_1bx.kraken","19_2bx.kraken","20_1bx.kraken","20_2bx.kraken","20_3bx.kraken","22_2bx.kraken","3_1by.kraken","3_2by.kraken","3_3by.kraken","6_1bx.kraken","6_2bx.kraken","6_3by.kraken","7_3bx.kraken"
"d__Bacteria|p__Spirochaetes|c__Spirochaetia",155280,25303,29813,45413,4149,3716,156524,2338,84208,160373,37185,13333,5809,4619,9090,320819,96739,2591,3880,26252,12331,61550,66800,116629,17809,57607,41968,149974,183428,36593,8506,5562,5687,6296,42378,101638,410555,4559,19567,44017,403240,379240,349306,34113,13811,1396,162800
"d__Bacteria|p__Synergistetes|c__Synergistia",352,97,236,201,30,34,46,29,159,157,83,777,105,63,131,303,87,34,176,24,25,113,72,266,6,94,65,692,592,54,93,47,58,68,306,409,682,28,60,74,519,383,138,280,149,45,878
"d__Bacteria|p__Verrucomicrobia|c__Spartobacteria",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,3,0,0,2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
"d__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae",67,66,38,96,2,28,18,54,74,41,40,63,34,72,51,27,44,63,54,24,30,42,57,54,15,60,52,80,98,13,83,30,82,24,17,38,45,18,14,36,103,73,61,16,31,60,116
"d__Bacteria|p__Verrucomicrobia|c__Opitutae",59,79,60,91,14,40,19,32,81,35,81,34,33,60,67,56,84,67,13,62,18,63,80,74,53,176,154,195,79,33,160,176,192,167,43,95,40,30,12,108,108,83,53,24,71,139,122
"d__Bacteria|p__Verrucomicrobia|c__Methylacidiphilae",1,2,5,0,0,3,5,11,2,28,14,2,2,6,0,2,9,8,1,3,1,6,52,6,0,0,0,5,2,0,0,0,0,0,0,0,1,0,0,0,1,7,3,1,0,0,0
"d__Bacteria|p__Kiritimatiellaeota|c__Kiritimatiellae",24,29,37,50,46,56,39,23,84,15,24,8,6,11,18,21,17,26,18,31,65,26,15,9,3,41,33,71,22,3,31,13,43,18,11,46,61,1,0,21,46,43,144,2,4,37,47
"d__Bacteria|p__Planctomycetes|c__Planctomycetia",108,111,127,162,16,62,72,129,158,190,231,121,62,122,79,124,218,149,63,62,73,79,143,120,56,209,179,320,80,57,196,252,276,264,43,140,98,60,18,174,179,175,137,37,103,169,187
"d__Bacteria|p__Planctomycetes|c__Phycisphaerae",45,55,54,51,11,16,19,25,117,71,54,12,4,39,29,54,56,16,14,34,87,46,11,18,13,59,82,148,23,26,39,49,61,72,10,72,10,11,8,47,96,115,320,12,42,74,76
"d__Bacteria|p__Chlamydiae|c__Chlamydiia",43,31,75,41,11,39,29,70,29,97,56,50,16,42,34,55,83,47,22,20,17,44,76,26,17,39,44,32,25,13,57,6,51,11,12,38,23,4,6,26,30,44,41,5,8,8,40
"d__Bacteria|p__Fibrobacteres|c__Fibrobacteria",86,29,38,66,2,18,16,54,40,31,37,13,2,56,45,31,76,37,14,15,5,68,46,23,6,19,8,33,7,5,19,4,28,2,7,22,9,1,3,14,12,7,15,5,3,8,20
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia",33095,187747,162024,484094,206678,542175,139882,448194,446382,195127,295467,202533,68586,1202863,306311,199400,830031,614453,209067,61329,59594,202891,141768,24556,25401,134029,206024,36894,19137,10782,89222,37363,283006,45300,1376,3400,5758,10022,10724,36721,15083,15310,4369,12487,20986,4338,71550
