"","009A.kraken","009B.kraken","012A.kraken","012B.kraken","015A.kraken","015B.kraken","022A.kraken","022B.kraken","024A.kraken","033A.kraken","033B.kraken","035A.kraken","035B.kraken","038A.kraken","038B.kraken","049A.kraken","049B.kraken","052A.kraken","052B.kraken","057A.kraken","057B.kraken","068A.kraken","068B.kraken","1_1bx.kraken","12_1by.kraken","12_2by.kraken","12_3by.kraken","1_2bx.kraken","1_3bx.kraken","15_1bx.kraken","15_1bz.kraken","15_2bz.kraken","15_3bx.kraken","15_bx.kraken","19_1bx.kraken","19_2bx.kraken","20_1bx.kraken","20_2bx.kraken","20_3bx.kraken","22_2bx.kraken","3_1by.kraken","3_2by.kraken","3_3by.kraken","6_1bx.kraken","6_2bx.kraken","6_3by.kraken","7_3bx.kraken"
"d__Bacteria|p__Chloroflexi|c__Caldilineae",9,10,17,21,0,6,2,18,11,7,18,8,6,21,6,13,25,11,8,9,6,8,13,22,2,11,23,30,15,5,5,6,8,3,10,8,20,1,3,12,13,17,10,7,6,17,12
"d__Bacteria|p__Actinobacteria|c__Actinobacteria",130912,151833,87742,87325,6772,59669,4712,23918,293688,44845,79210,25072,8451,73259,42578,6402,20647,61970,43890,167060,150112,79833,31569,95222,161491,644039,451727,1148905,217780,163148,954085,1495187,1835326,1132889,104630,277871,591176,325127,89726,522826,768478,1130949,1060797,50796,561871,1076509,1454480
"d__Bacteria|p__Actinobacteria|c__Acidimicrobiia",26,63,22,18,1,8,10,8,15,12,32,9,5,12,12,10,11,24,9,29,23,5,40,46,20,90,44,119,22,29,81,137,212,73,8,22,9,18,6,19,22,33,14,4,39,139,28
"d__Bacteria|p__Actinobacteria|c__Rubrobacteria",50,28,25,39,1,9,16,29,51,35,34,33,2,22,43,36,48,15,20,33,53,27,32,63,21,123,71,178,50,51,60,107,191,170,27,63,30,7,4,75,54,59,44,8,52,249,161
"d__Bacteria|p__Actinobacteria|c__Coriobacteriia",185338,185676,84292,382448,57632,39319,5763,2539,209051,34122,54026,89222,39513,40281,164397,12714,15524,6573,148305,120433,75342,76288,11972,4202,13216,185041,166242,191095,1008,8597,40124,76497,34597,17798,16026,188054,413,148,222,66049,24670,44791,58110,996,1849,86802,12758
"d__Bacteria|p__Actinobacteria|c__Thermoleophilia",19,16,4,15,0,0,1,0,8,4,11,8,3,11,10,3,6,0,5,7,5,3,3,23,7,68,47,81,25,21,59,67,148,119,19,38,34,24,7,27,24,42,34,6,51,93,72
"d__Bacteria|p__Tenericutes|c__Mollicutes",478,305,419,596,387,833,519,1030,303,1344,633,607,326,721,861,675,1011,1198,610,214,413,660,1030,1058,362,548,766,1446,604,654,655,371,957,372,759,1170,454,324,379,1161,672,922,1575,592,539,372,872
"d__Bacteria|p__Cyanobacteria|c__Gloeobacteria",27,36,26,49,13,22,22,21,107,52,56,23,11,48,24,12,47,29,16,26,100,40,44,25,20,62,73,116,30,10,39,48,31,34,15,56,20,10,8,44,39,27,62,12,21,14,60
"d__Bacteria|p__Calditrichaeota|c__Calditrichae",8,18,20,18,2,17,2,19,22,26,18,15,9,39,53,47,17,15,8,10,3,46,100,22,4,15,9,29,20,12,48,7,13,19,5,22,12,3,6,48,36,23,26,3,5,7,21
"d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales",114,148,191,277,94,170,145,398,235,298,262,148,126,289,334,206,336,381,297,94,167,198,357,126,122,131,197,183,81,26,162,24,151,17,31,71,92,31,16,285,118,161,268,23,20,102,49
"d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales",892,16930,2367,4008,312,1874,653,4575,2707,2009,3785,756,1040869,5915,3639,1303,2615,3735,1653,1342,1859,1995,3091,3110,3798,2635,2602,3690,1994,2751,8938,14559,5959,48544,319,1126,1109,3955,238,1585,1281,1174,2026,352,1008,1819,4422
"d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales",1525,7252,3258,6865,565,3607,1103,6000,1880,3317,6349,1210,32389,6524,5410,1972,4634,5617,5365,2536,1505,2808,4985,68718,11386,8750,7480,9369,19653,7816,6633,7795,3300,6976,12430,7570,15162,18547,17857,2479,1420,2694,1284,20057,19367,12115,10155
"d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales",42,50,69,104,32,94,51,146,83,88,101,52,35,148,106,67,155,157,107,32,89,50,65,67,53,96,78,118,63,28,96,27,66,24,52,82,32,35,31,98,87,112,362,33,71,33,52
"d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales",345,537,523,937,68,458,111,1161,431,410,962,174,493,1597,738,254,626,867,270,254,192,450,606,556,337,717,509,1108,415,200,1965,473,1069,555,87,290,409,790,48,513,478,347,312,91,252,496,592
"d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales",387,1144,788,1088,101,775,139,1448,666,458,1034,222,4894,2072,1151,277,721,1138,283,441,524,722,835,995,513,1013,687,1505,695,232,3609,694,2139,980,101,2411,328,1529,92,587,501,375,3664,110,454,699,820
"d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales",10,86,97,234,26,268,34,849,8,80,221,19,12,916,466,81,361,540,63,61,118,130,251,79,138,237,90,54,120,4,118,3,68,1,6,11,41,58,13,40,56,12,20,17,25,45,40
"d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales",237,336,208,360,47,190,33,401,348,105,310,36,167,442,323,102,210,365,75,86,226,119,231,157,95,170,130,130,94,12,329,58,195,127,7,55,60,129,18,144,55,71,53,14,67,44,95
"d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales",181,509,387,621,67,347,117,701,325,381,688,190,1077,843,563,208,483,669,428,194,276,363,431,433,265,388,324,573,328,129,1405,218,740,288,78,176,158,520,43,305,307,298,309,41,129,170,390
"d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales",399,1215,842,1228,147,576,350,1387,741,1074,1528,370,1470,1194,1158,445,981,1597,1679,356,494,697,1123,575,662,490,508,895,347,167,1092,249,694,361,142,358,190,374,96,647,356,358,584,145,219,264,492
"d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales",249,659,467,861,97,341,221,680,296,713,1068,272,549,626,726,311,526,779,1990,221,407,334,614,235,472,273,181,233,190,71,404,78,308,111,71,148,82,177,38,348,164,147,117,42,66,153,222
"d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales",123,520,275,411,30,250,71,536,156,243,384,97,706,641,408,84,287,379,124,167,80,197,339,347,254,366,445,470,228,76,933,283,542,320,47,132,155,401,32,205,201,153,117,54,150,213,235
"d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales",124122,66916,32338,43818,2552,5954,20998,53761,11316,61897,90999,1693,1563,16269,92108,49362,24093,44763,494428,4476,8203,5771,33945,12929,69627,1683,1336,9202,16728,2583,11247,339,954,575,535,407,7320,45253,5734,3116,632,1486,923,1618,7894,2410,5808
"d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Orbales",24,42,20,36,4,7,12,47,13,50,75,2,11,23,50,28,34,129,113,4,8,11,29,12,21,12,5,32,11,5,22,5,3,0,2,12,5,9,2,24,4,11,13,3,10,8,4
"d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales",83,358,256,412,31,219,71,354,155,166,346,148,556,532,337,118,290,393,141,95,77,374,362,158,133,193,150,151,100,23,465,92,209,71,16,56,60,99,13,203,69,89,108,15,32,58,133
"d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales",4,14,14,35,0,11,7,38,19,13,18,8,3,35,22,6,12,19,5,7,4,9,19,22,12,20,12,63,13,2,19,4,14,2,0,1,24,21,0,29,8,3,13,4,4,11,15
"d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales",6,25,23,33,3,24,2,22,10,8,22,0,18,77,38,2,9,19,4,6,5,4,9,28,5,19,9,58,18,9,142,32,112,15,1,9,11,102,2,19,28,9,7,5,18,22,30
"d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales",1261,1981,1507,2349,207,1041,452,2358,2017,1191,2145,943,1586,3046,2164,886,1868,1784,1145,1136,1177,1601,1830,1932,1029,2951,2576,3947,1503,832,4202,3229,4866,4198,700,1703,1173,1803,496,2498,1658,1513,1887,588,1475,3185,2975
"d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales",109,159,71,104,70,120,84,184,237,171,129,93,30,125,122,109,173,246,134,41,229,82,189,69,16,54,72,136,21,14,88,28,121,26,26,97,30,15,13,166,123,140,323,20,28,24,67
"d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales",14,27,14,44,14,46,11,58,36,51,37,9,3,12,27,39,50,91,33,3,18,13,46,28,12,14,21,39,21,8,20,24,20,11,8,14,20,1,4,80,19,36,35,4,2,9,10
"d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales",372,659,499,676,84,364,124,709,618,293,655,260,387,868,539,329,550,589,254,368,284,466,593,584,250,824,664,1181,414,164,1826,803,1555,611,135,530,441,649,73,534,623,515,728,107,357,614,900
"d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales",367,792,548,872,112,576,249,1174,667,527,1019,291,479,1170,914,433,799,1152,383,380,336,442,848,650,358,955,799,1185,403,194,2200,889,1737,657,149,453,383,720,72,674,544,443,540,104,285,692,817
"d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales",387,784,534,946,77,397,229,816,1175,481,929,309,479,986,736,310,691,734,312,338,463,656,762,610,342,1125,1181,1248,473,238,1434,1214,1658,1375,160,524,445,536,92,908,599,436,580,116,370,627,1125
"d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales",193,202,152,211,9,87,56,277,249,121,253,79,112,305,231,112,139,156,84,120,174,123,136,197,69,286,189,464,97,100,476,314,543,486,42,180,107,170,27,223,212,201,175,30,191,310,348
"d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales",8,6,3,7,1,2,0,6,2,5,7,0,2,2,3,6,14,0,7,8,1,47,11,9,3,17,5,17,7,0,10,18,13,6,4,15,3,1,1,17,12,9,8,1,5,14,13
"d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Magnetococcales",38,34,51,75,12,33,19,30,83,34,70,18,0,61,43,27,32,58,22,17,103,27,63,31,12,23,32,70,11,1,16,8,62,7,2,26,20,3,2,25,35,45,115,10,8,24,28
"d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales",9,2,3,10,0,1,13,21,0,13,15,24,11,12,10,8,17,12,3,3,0,7,6,20,6,3,3,25,7,6,0,4,10,8,6,10,9,10,3,1,16,5,7,11,16,3,0
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales",18,110,77,119,14,96,26,137,36,107,115,18,77,237,127,48,68,108,81,43,23,117,174,96,76,87,74,118,68,20,193,49,96,36,16,36,38,93,16,76,39,36,28,23,30,29,75
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales",1996,9129,19470,8038,594,3557,1018,6888,5354,3622,6991,1191,14349,14255,6591,1935,3947,6170,2213,3707,2314,4322,4638,68858,126463,13883,5401,14995,31046,1927,55610,4168,25617,4909,979,2278,2297,23529,633,3145,2938,2553,3189,848,2525,4123,14162
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Hydrogenophilales",14,85,43,77,8,53,5,105,34,9,55,11,21,95,71,13,42,69,11,40,39,31,41,73,18,44,27,105,39,13,242,46,112,26,2,15,54,116,8,16,16,5,4,14,9,55,37
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Methylophilales",64,222,154,237,24,124,45,230,112,132,193,60,147,286,213,75,203,141,160,58,34,206,182,108,118,106,87,89,84,17,516,24,122,12,9,29,26,112,4,53,41,35,29,9,17,8,76
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales",6587,288634,139694,141589,2610,27650,14176,36764,10717,49974,222442,4015,7575,117173,316502,5661,19036,82122,62618,18545,13188,53672,63004,68820,115567,18205,15281,21974,63103,4336,52634,810,6647,819,328,984,3597,180974,673,1254,1478,1347,340,727,1824,713,10219
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales",164,696,586,769,40,453,96,913,354,351,794,115,343,1234,822,166,440,712,185,207,117,353,480,809,383,537,495,1056,421,167,4162,364,1860,379,52,170,198,1809,56,346,260,238,253,91,256,366,625
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Gallionellales",21,133,83,140,14,87,16,197,24,61,103,28,39,206,129,38,91,178,39,32,22,61,92,82,25,44,23,75,40,13,260,8,67,3,2,15,36,74,2,12,33,18,17,9,14,24,30
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Sulfuricellales",5,55,29,65,1,29,2,62,30,13,54,5,4,81,58,8,58,80,7,50,22,33,38,49,22,52,33,45,23,8,139,8,47,8,1,13,10,40,5,1,8,1,3,4,8,31,10
"d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales",253,362,443,608,46,234,81,478,388,343,606,220,148,594,498,159,354,315,220,238,134,354,338,566,242,968,907,1557,447,259,1078,842,1399,1073,183,535,357,349,101,534,584,559,446,131,537,1045,872
"d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales",348,396,346,628,58,214,196,702,558,535,755,328,216,585,421,282,552,537,315,134,300,406,473,475,177,582,599,995,357,137,576,343,688,399,132,398,908,151,73,442,592,456,512,132,228,302,656
"d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfurellales",5,8,13,23,16,65,15,37,7,22,8,22,9,16,28,25,10,15,7,1,8,20,55,41,5,10,8,29,21,7,3,4,27,2,11,16,33,0,2,35,10,20,9,11,0,4,16
"d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales",284,322,375,507,54,204,159,470,646,450,500,883,170,717,348,930,419,445,374,225,211,517,296,2259,187,642,556,4196,1167,178,577,353,615,487,59148,13802,17961,252,184,458,64839,75042,29770,410,449,583,15832
"d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales",99,146,136,197,27,95,106,236,172,185,196,497,116,208,205,399,211,247,114,47,93,314,226,851,55,219,198,1440,390,27,231,137,218,203,61,125,1639,71,29,241,237,182,211,141,115,111,335
"d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophobacterales",8,30,44,78,9,12,7,34,32,44,45,46,7,72,22,36,40,17,50,22,10,74,48,318,26,85,56,528,149,21,110,66,46,79,14,28,647,16,11,75,88,60,95,17,21,28,57
"d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Bdellovibrionales",28,61,21,24,27,69,21,49,6,52,43,29,15,59,33,51,85,46,36,11,6,52,39,16,9,23,36,32,6,15,58,8,16,5,8,30,13,6,11,88,27,36,40,6,5,82,10
"d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfarculales",7,45,18,37,2,21,7,10,6,16,51,30,14,19,29,17,16,36,13,9,15,42,24,167,13,54,47,315,102,18,89,75,73,79,4,25,364,17,6,33,100,36,34,24,22,75,87
"d__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales",55660,235815,213049,465247,49345,91617,55641,56667,300442,140791,226169,93223,44375,312702,216975,49057,155110,57356,80759,50578,32942,241222,98208,21995,28740,113765,136264,31660,15527,24332,129986,33191,60692,20964,5511,20547,6808,4878,5727,112990,17678,22660,1923,3699,10961,84231,16658
"d__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Nautiliales",16,1,1,7,2,6,2,17,2,7,7,12,4,10,6,9,8,4,0,0,0,7,9,6,3,1,6,7,3,1,4,1,2,3,1,4,7,2,0,10,2,1,2,1,1,4,8
"d__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales",8,48,50,88,6,35,5,94,48,89,149,13,87,111,83,24,52,75,46,24,18,32,98,67,38,45,37,57,38,10,206,57,123,55,7,21,39,55,2,85,30,32,16,8,13,22,124
"d__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales",74284,71924,112690,345340,112121,353591,330100,572937,99390,514170,494220,217698,127176,239355,267360,401408,942979,1338132,598171,88525,458315,242225,905166,200072,103403,320559,532286,234718,33521,75972,250591,52282,190222,65174,24060,228957,13485,53073,19644,730664,250734,583426,72551,74186,51985,142599,131632
"d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales",23,38,53,66,11,48,20,54,34,76,75,47,15,72,78,50,90,51,57,21,23,28,74,57,30,50,75,117,56,13,96,9,66,13,21,46,48,25,10,112,64,54,43,10,23,67,51
"d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales",86,121,92,76,13,36,70,145,110,137,235,59,104,86,106,68,145,157,151,59,109,98,261,64,60,174,184,204,62,40,131,78,222,61,25,110,32,25,6,138,113,101,146,17,30,64,126
"d__Bacteria|p__Acidobacteria|c__Solibacteres|o__Solibacterales",11,20,21,52,4,15,1,10,10,13,45,25,8,37,46,11,18,45,7,8,10,13,21,35,18,38,25,61,16,11,21,25,46,54,6,21,23,5,3,33,26,16,16,7,14,52,33
"d__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales",1,0,2,2,7,9,1,5,2,8,16,3,1,2,1,3,9,111,11,0,1,6,30,7,1,4,8,3,0,2,17,3,2,1,1,4,1,1,0,11,4,10,2,1,1,1,3
"d__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales",5,13,5,20,0,23,4,25,13,33,14,7,1,20,14,10,32,16,8,13,13,12,14,6,3,12,25,22,3,1,0,6,20,4,0,22,2,3,0,46,19,12,44,1,2,8,5
"d__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales",38,42,33,31,3,9,55,46,14,73,59,47,10,25,29,46,53,49,29,16,8,32,59,36,11,16,27,27,6,1,0,7,35,6,3,26,19,4,2,39,10,22,28,4,4,14,18
"d__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales",6,27,4,10,1,3,3,9,11,8,10,6,1,9,9,21,16,11,6,8,12,6,31,6,3,2,10,12,7,0,3,13,18,10,3,11,4,0,1,9,6,9,11,6,2,2,6
"d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales",20,54,47,51,11,37,34,110,28,70,54,53,14,39,82,70,87,169,42,11,21,51,86,48,18,39,110,65,37,6,27,6,67,5,15,26,20,4,4,51,37,60,53,5,7,8,20
"d__Bacteria|p__Aquificae|c__Aquificae|o__Desulfurobacteriales",4,27,21,40,10,36,31,20,10,46,32,16,8,42,34,36,47,64,31,12,21,22,48,18,7,29,33,30,7,12,19,25,32,17,3,7,13,5,8,72,18,8,23,1,8,6,23
"d__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales",31,35,52,95,36,86,45,93,47,120,132,113,64,96,114,133,124,125,154,28,41,69,127,34,36,92,167,85,16,10,57,11,50,11,21,81,32,2,7,166,72,71,117,4,18,30,27
"d__Bacteria|p__Thermotogae|c__Thermotogae|o__Kosmotogales",20,17,18,34,5,11,19,29,17,26,46,26,12,17,55,45,65,22,35,8,12,33,37,20,6,21,20,23,14,14,53,3,6,2,9,21,12,0,1,40,13,19,17,4,7,7,30
"d__Bacteria|p__Thermotogae|c__Thermotogae|o__Petrotogales",13,9,33,31,5,23,20,102,9,60,56,24,11,43,32,45,109,70,112,9,31,23,81,24,9,76,36,41,11,2,9,9,62,10,11,17,31,1,7,95,16,29,41,1,10,13,15
"d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales",10,13,41,45,14,32,21,51,13,74,52,35,15,26,39,43,76,67,53,14,37,37,58,36,8,33,47,48,63,13,26,10,24,9,16,27,25,3,7,66,32,38,41,5,10,1,17
"d__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes|o__Chrysiogenales",5,9,6,7,2,19,7,22,9,7,28,19,5,22,10,19,37,7,27,2,0,28,7,38,6,11,12,55,9,2,36,10,16,6,7,15,43,1,0,18,17,32,16,2,3,3,23
"d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales",25,6,13,10,19,37,6,90,57,25,16,12,5,26,24,22,27,65,16,4,11,29,21,21,2,20,28,37,14,3,24,17,7,23,14,31,15,2,3,17,32,34,60,8,6,43,20
"d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales",155193,25187,29727,45217,4113,3635,156417,2128,84154,160187,37032,13245,5753,4524,8997,320646,96580,2420,3775,26199,12242,61403,66606,116493,17753,57518,41877,149804,183297,36550,8395,5513,5620,6241,42311,101540,410417,4509,19514,43779,403109,379066,349119,34046,13737,1340,162691
"d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Brachyspirales",24,65,39,69,25,58,49,97,17,120,82,39,21,45,52,73,86,133,56,34,69,66,112,95,35,44,51,81,85,24,86,37,41,24,49,37,92,47,41,166,59,90,85,51,60,46,49
"d__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales",352,97,236,201,30,34,46,29,159,157,83,777,105,63,131,303,87,34,176,24,25,113,72,266,6,94,65,692,592,54,93,47,58,68,306,409,682,28,60,74,519,383,138,280,149,45,878
"d__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales",67,66,38,96,2,28,18,54,74,41,40,63,34,72,51,27,44,63,54,24,30,42,57,54,15,60,52,80,98,13,83,30,82,24,17,38,45,18,14,36,103,73,61,16,31,60,116
"d__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Opitutales",58,67,56,84,13,38,17,32,77,27,63,31,19,59,58,52,65,66,11,61,18,45,72,69,51,169,145,186,75,31,156,150,142,159,40,79,39,28,12,95,102,73,43,24,71,138,120
"d__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Puniceicoccales",1,12,4,7,1,2,2,0,4,8,18,3,14,1,9,4,19,1,2,1,0,18,8,5,2,7,9,9,4,2,4,26,50,8,3,16,1,2,0,13,6,10,10,0,0,1,2
"d__Bacteria|p__Verrucomicrobia|c__Methylacidiphilae|o__Methylacidiphilales",1,2,5,0,0,3,5,11,2,28,14,2,2,6,0,2,9,8,1,3,1,6,52,6,0,0,0,5,2,0,0,0,0,0,0,0,1,0,0,0,1,7,3,1,0,0,0
"d__Bacteria|p__Kiritimatiellaeota|c__Kiritimatiellae|o__Kiritimatiellales",24,29,37,50,46,56,39,23,84,15,24,8,6,11,18,21,17,26,18,31,65,26,15,9,3,41,33,71,22,3,31,13,43,18,11,46,61,1,0,21,46,43,144,2,4,37,47
"d__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales",108,111,127,162,16,62,72,129,158,190,231,121,62,122,79,124,218,149,63,62,73,79,143,120,56,209,179,320,80,57,196,252,276,264,43,140,98,60,18,174,179,175,137,37,103,169,187
"d__Bacteria|p__Planctomycetes|c__Phycisphaerae|o__Phycisphaerales",38,47,48,47,11,16,13,6,112,36,14,4,1,37,26,49,35,9,12,28,81,42,8,18,11,56,77,145,18,26,38,47,57,71,10,68,7,11,7,39,85,112,313,12,41,74,76
"d__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Chlamydiales",15,21,18,20,9,31,14,34,9,59,37,36,12,19,19,36,52,28,5,12,15,20,41,17,9,12,25,16,18,8,52,5,23,3,6,7,14,0,3,15,13,14,8,3,5,5,17
"d__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Parachlamydiales",28,10,57,21,2,8,15,36,20,38,19,14,4,23,15,19,31,19,17,8,2,24,35,9,8,27,19,16,7,5,5,1,28,8,6,31,9,4,3,11,17,30,33,2,3,3,23
"d__Bacteria|p__Fibrobacteres|c__Fibrobacteria|o__Fibrobacterales",86,29,38,66,2,18,16,54,40,31,37,13,2,56,45,31,76,37,14,15,5,68,46,23,6,19,8,33,7,5,19,4,28,2,7,22,9,1,3,14,12,7,15,5,3,8,20
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales",33095,187747,162024,484094,206678,542175,139882,448194,446382,195127,295467,202533,68586,1202863,306311,199400,830031,614453,209067,61329,59594,202891,141768,24556,25401,134029,206024,36894,19137,10782,89222,37363,283006,45300,1376,3400,5758,10022,10724,36721,15083,15310,4369,12487,20986,4338,71550
"d__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales",308,315,452,495,172,466,322,1234,382,583,768,316,148,841,834,335,1148,736,434,123,219,716,690,344,203,414,409,386,251,107,232,93,436,84,99,256,140,92,66,530,326,231,369,88,134,106,296
"d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales",1534690,608530,979867,2401469,241068,227380,439504,314922,964896,1625794,1634358,2082917,449047,457042,547434,2965867,665862,943053,1224474,177834,137620,1268411,1404361,393777,120932,1405286,778853,524120,145213,419428,1159411,47286,525793,57757,257318,1722251,908129,25676,42620,1382637,1434913,2228083,1391226,116164,100949,45441,310714
"d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Marinilabiliales",201,110,256,173,48,87,111,281,120,311,351,163,72,211,361,251,558,269,168,31,48,313,415,130,50,195,196,153,47,61,95,22,89,15,24,93,30,15,12,162,100,144,96,23,14,22,155
"d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales",1021,1027,1420,1628,346,1234,931,2566,1167,1919,2557,1005,429,2062,2397,1139,2977,2114,1195,364,517,2042,2192,955,444,1224,1163,1197,669,448,1116,341,1310,340,228,817,351,209,134,1397,1084,775,1189,125,255,316,843
"d__Bacteria|p__Bacteroidetes|o__Bacteroidetes_Order_II_Incertae_sedis",105,98,120,231,4,28,37,101,71,99,225,33,16,62,94,44,78,83,58,32,21,190,144,75,33,152,125,207,76,26,144,137,185,137,26,85,63,72,12,163,70,60,30,29,68,162,151
"d__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales",244,240,221,288,100,296,201,430,105,314,365,214,97,399,443,291,587,414,233,86,100,527,400,106,86,247,255,145,46,64,141,32,172,30,56,117,80,43,14,290,189,141,152,21,22,36,106
"d__Bacteria|p__Bacteroidetes|c__Saprospiria|o__Saprospirales",108,84,101,121,35,145,107,267,82,142,159,72,50,180,172,96,215,163,67,24,27,193,159,85,40,94,74,98,36,25,49,17,137,3,16,49,37,12,5,95,72,73,93,12,10,19,71
"d__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales",251,339,235,287,59,171,171,232,363,391,462,126,67,368,239,301,373,292,275,117,285,274,298,335,69,223,215,470,166,56,188,80,243,67,57,205,350,49,31,222,247,198,243,41,58,99,190
"d__Bacteria|p__Ignavibacteriae|c__Ignavibacteria|o__Ignavibacteriales",26,18,31,77,15,35,54,89,64,102,141,27,22,52,23,63,100,11,27,12,17,40,41,14,3,18,36,23,7,19,39,17,17,4,13,21,11,1,1,120,35,33,58,5,4,9,22
"d__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes|o__Gemmatimonadales",14,29,25,30,12,21,5,26,51,21,35,16,12,37,27,22,28,12,13,6,13,26,15,31,13,31,42,52,22,4,40,9,65,16,5,15,21,7,6,43,13,9,4,10,9,20,41
